"filename", "language", "Batch", "XML", "Java Properties", "Java", "PostCSS", "comment", "blank", "total"
"c:\Users\nikre\Documents\GitHub\SWE1_RandExGen\src\main\java\com\randexgen\swe1_randexgen\datamodel\Exam.java", "Java", 0, 0, 0, 37, 0, 53, 12, 102
"c:\Users\nikre\Documents\GitHub\SWE1_RandExGen\src\main\java\com\randexgen\swe1_randexgen\datamodel\ExamAppearance.java", "Java", 0, 0, 0, 5, 0, 0, 3, 8
"c:\Users\nikre\Documents\GitHub\SWE1_RandExGen\src\main\java\com\randexgen\swe1_randexgen\datamodel\ExamType.java", "Java", 0, 0, 0, 5, 0, 0, 2, 7
"c:\Users\nikre\Documents\GitHub\SWE1_RandExGen\src\main\java\com\randexgen\swe1_randexgen\datamodel\Subtask.java", "Java", 0, 0, 0, 60, 0, 85, 18, 163
"c:\Users\nikre\Documents\GitHub\SWE1_RandExGen\src\main\java\com\randexgen\swe1_randexgen\datamodel\Variant.java", "Java", 0, 0, 0, 46, 0, 64, 13, 123
"c:\Users\nikre\Documents\GitHub\SWE1_RandExGen\src\main\java\com\randexgen\swe1_randexgen\datamodel\package-info.java", "Java", 0, 0, 0, 1, 0, 6, 0, 7
"c:\Users\nikre\Documents\GitHub\SWE1_RandExGen\src\main\java\com\randexgen\swe1_randexgen\service\AppState.java", "Java", 0, 0, 0, 23, 0, 35, 9, 67
"c:\Users\nikre\Documents\GitHub\SWE1_RandExGen\src\main\java\com\randexgen\swe1_randexgen\service\DataValidator.java", "Java", 0, 0, 0, 119, 0, 102, 35, 256
"c:\Users\nikre\Documents\GitHub\SWE1_RandExGen\src\main\java\com\randexgen\swe1_randexgen\service\ExamGenerator.java", "Java", 0, 0, 0, 236, 0, 192, 66, 494
"c:\Users\nikre\Documents\GitHub\SWE1_RandExGen\src\main\java\com\randexgen\swe1_randexgen\service\ExportMode.java", "Java", 0, 0, 0, 5, 0, 12, 3, 20
"c:\Users\nikre\Documents\GitHub\SWE1_RandExGen\src\main\java\com\randexgen\swe1_randexgen\service\GeneratedTask.java", "Java", 0, 0, 0, 23, 0, 29, 7, 59
"c:\Users\nikre\Documents\GitHub\SWE1_RandExGen\src\main\java\com\randexgen\swe1_randexgen\service\PDFExporter.java", "Java", 0, 0, 0, 288, 0, 208, 87, 583
"c:\Users\nikre\Documents\GitHub\SWE1_RandExGen\src\main\java\com\randexgen\swe1_randexgen\service\ScoreCalculator.java", "Java", 0, 0, 0, 122, 0, 81, 37, 240
"c:\Users\nikre\Documents\GitHub\SWE1_RandExGen\src\main\java\com\randexgen\swe1_randexgen\service\XMLFileValidator.java", "Java", 0, 0, 0, 106, 0, 100, 43, 249
"c:\Users\nikre\Documents\GitHub\SWE1_RandExGen\src\main\java\com\randexgen\swe1_randexgen\service\XMLParser.java", "Java", 0, 0, 0, 82, 0, 65, 37, 184
"c:\Users\nikre\Documents\GitHub\SWE1_RandExGen\src\main\java\com\randexgen\swe1_randexgen\service\package-info.java", "Java", 0, 0, 0, 1, 0, 6, 0, 7
"c:\Users\nikre\Documents\GitHub\SWE1_RandExGen\src\main\java\module-info.java", "Java", 0, 0, 0, 15, 0, 0, 2, 17
"c:\Users\nikre\Documents\GitHub\SWE1_RandExGen\src\main\resources\com\randexgen\swe1_randexgen\Frame2.fxml", "XML", 0, 110, 0, 0, 0, 1, 18, 129
"c:\Users\nikre\Documents\GitHub\SWE1_RandExGen\src\main\resources\com\randexgen\swe1_randexgen\hello-view.fxml", "XML", 0, 97, 0, 0, 0, 5, 13, 115
"c:\Users\nikre\Documents\GitHub\SWE1_RandExGen\src\main\resources\com\randexgen\swe1_randexgen\pdfviewer.fxml", "XML", 0, 175, 0, 0, 0, 2, 22, 199
"c:\Users\nikre\Documents\GitHub\SWE1_RandExGen\src\main\resources\com\randexgen\swe1_randexgen\styles.css", "PostCSS", 0, 0, 0, 0, 148, 8, 29, 185
"c:\Users\nikre\Documents\GitHub\SWE1_RandExGen\src\main\resources\com\randexgen\swe1_randexgen\styles2.css", "PostCSS", 0, 0, 0, 0, 172, 32, 28, 232
"c:\Users\nikre\Documents\GitHub\SWE1_RandExGen\src\test\java\com\randexgen\swe1_randexgen\service\AppStateTest.java", "Java", 0, 0, 0, 27, 0, 23, 13, 63
"c:\Users\nikre\Documents\GitHub\SWE1_RandExGen\src\test\java\com\randexgen\swe1_randexgen\service\DataValidatorTest.java", "Java", 0, 0, 0, 215, 0, 133, 72, 420
"c:\Users\nikre\Documents\GitHub\SWE1_RandExGen\src\test\java\com\randexgen\swe1_randexgen\service\ExamGeneratorTest.java", "Java", 0, 0, 0, 176, 0, 92, 49, 317
"c:\Users\nikre\Documents\GitHub\SWE1_RandExGen\src\test\java\com\randexgen\swe1_randexgen\service\PDFExporterTest.java", "Java", 0, 0, 0, 115, 0, 40, 41, 196
"c:\Users\nikre\Documents\GitHub\SWE1_RandExGen\src\test\java\com\randexgen\swe1_randexgen\service\ScoreCalculatorTest.java", "Java", 0, 0, 0, 125, 0, 69, 42, 236
"c:\Users\nikre\Documents\GitHub\SWE1_RandExGen\src\test\java\com\randexgen\swe1_randexgen\service\XMLFileValidatorTest.java", "Java", 0, 0, 0, 198, 0, 74, 28, 300
"c:\Users\nikre\Documents\GitHub\SWE1_RandExGen\src\test\java\com\randexgen\swe1_randexgen\service\XMLParserTest.java", "Java", 0, 0, 0, 167, 0, 50, 28, 245
"Total", "-", 102, 485, 2, 3616, 320, 2218, 1170, 7913
