"filename", "language", "XML", "Java", "Java Properties", "PostCSS", "Batch", "comment", "blank", "total"
"c:\Users\nikre\Documents\GitHub\SWE1_RandExGen\.idea\encodings.xml", "XML", 7, 0, 0, 0, 0, 0, 0, 7
"c:\Users\nikre\Documents\GitHub\SWE1_RandExGen\.idea\misc.xml", "XML", 14, 0, 0, 0, 0, 0, 0, 14
"c:\Users\nikre\Documents\GitHub\SWE1_RandExGen\.idea\vcs.xml", "XML", 6, 0, 0, 0, 0, 0, 0, 6
"c:\Users\nikre\Documents\GitHub\SWE1_RandExGen\.mvn\wrapper\maven-wrapper.properties", "Java Properties", 0, 0, 2, 0, 0, 0, 0, 2
"c:\Users\nikre\Documents\GitHub\SWE1_RandExGen\demodata\practice_exam_xml.xml", "XML", 294, 0, 0, 0, 0, 0, 4, 298
"c:\Users\nikre\Documents\GitHub\SWE1_RandExGen\demodata\regular_exam_xml.xml", "XML", 356, 0, 0, 0, 0, 0, 1, 357
"c:\Users\nikre\Documents\GitHub\SWE1_RandExGen\mvnw.cmd", "Batch", 0, 0, 0, 0, 102, 51, 36, 189
"c:\Users\nikre\Documents\GitHub\SWE1_RandExGen\pom.xml", "XML", 76, 0, 0, 0, 0, 1, 5, 82
"c:\Users\nikre\Documents\GitHub\SWE1_RandExGen\src\main\java\com\randexgen\swe1_randexgen\app\AppController.java", "Java", 0, 11, 0, 0, 0, 12, 4, 27
"c:\Users\nikre\Documents\GitHub\SWE1_RandExGen\src\main\java\com\randexgen\swe1_randexgen\app\AppNavigator.java", "Java", 0, 31, 0, 0, 0, 37, 9, 77
"c:\Users\nikre\Documents\GitHub\SWE1_RandExGen\src\main\java\com\randexgen\swe1_randexgen\app\HelloApplication.java", "Java", 0, 25, 0, 0, 0, 3, 7, 35
"c:\Users\nikre\Documents\GitHub\SWE1_RandExGen\src\main\java\com\randexgen\swe1_randexgen\app\MainShellController.java", "Java", 0, 171, 0, 0, 0, 85, 36, 292
"c:\Users\nikre\Documents\GitHub\SWE1_RandExGen\src\main\java\com\randexgen\swe1_randexgen\app\package-info.java", "Java", 0, 1, 0, 0, 0, 6, 0, 7
"c:\Users\nikre\Documents\GitHub\SWE1_RandExGen\src\main\java\com\randexgen\swe1_randexgen\controller\PdfviewerController.java", "Java", 0, 223, 0, 0, 0, 79, 69, 371
